iter	Passed	Remaining
405	9811	14354
406	9837	14332
407	9864	14312
408	9902	14308
409	9928	14287
410	9956	14268
411	9983	14247
412	10010	14227
413	10035	14205
414	10064	14186
415	10090	14165
416	10116	14143
417	10150	14132
418	10176	14111
419	10202	14089
420	10230	14070
421	10258	14050
422	10283	14027
423	10309	14005
424	10335	13983
425	10362	13962
426	10388	13940
427	10415	13919
428	10440	13896
429	10474	13884
430	10501	13863
431	10530	13845
432	10556	13822
433	10583	13802
434	10609	13780
435	10637	13759
436	10663	13738
437	10692	13719
438	10717	13696
439	10744	13675
440	10771	13653
441	10804	13640
442	10831	13619
443	10856	13595
444	10882	13572
445	10908	13549
446	10934	13527
447	10959	13503
448	10985	13481
449	11011	13459
450	11037	13436
451	11059	13408
452	11080	13379
453	11106	13356
454	11129	13331
455	11153	13306
456	11178	13282
457	11208	13264
458	11234	13241
459	11261	13219
460	11286	13196
461	11313	13174
462	11340	13152
463	11366	13130
464	11392	13107
465	11418	13084
466	11444	13062
467	11470	13039
468	11497	13017
469	11523	12995
470	11553	12976
471	11580	12954
472	11606	12931
473	11632	12908
474	11653	12880
475	11674	12852
476	11695	12822
477	11723	12803
478	11751	12781
479	11779	12761
480	11806	12739
481	11832	12716
482	11860	12694
483	11886	12672
484	11912	12649
485	11938	12626
486	11964	12603
487	11992	12581
488	12019	12559
489	12045	12536
490	12071	12513
491	12098	12492
492	12126	12470
493	12153	12448
494	12180	12426
495	12207	12404
496	12232	12380
497	12255	12354
498	12282	12332
499	12310	12310
500	12336	12287
501	12362	12264
502	12388	12240
503	12413	12216
504	12441	12195
505	12467	12172
506	12495	12150
507	12521	12127
508	12548	12104
509	12576	12082
510	12603	12060
511	12639	12047
512	12669	12027
513	12696	12005
514	12723	11981
515	12749	11959
516	12776	11936
517	12806	11916
518	12832	11892
519	12858	11869
520	12883	11844
521	12905	11817
522	12930	11793
523	12956	11769
524	12982	11746
525	13007	11721
526	13032	11697
527	13058	11673
528	13084	11649
529	13111	11627
530	13139	11605
531	13164	11580
532	13201	11566
533	13228	11544
534	13254	11520
535	13280	11496
536	13306	11473
537	13333	11449
538	13360	11426
539	13386	11403
540	13412	11379
541	13439	11356
542	13464	11332
543	13489	11307
544	13515	11283
545	13543	11261
546	13568	11237
547	13594	11213
548	13621	11189
549	13648	11167
550	13674	11142
551	13700	11118
552	13727	11095
553	13754	11072
554	13781	11049
555	13807	11026
556	13832	11001
557	13860	10979
558	13886	10955
559	13913	10932
560	13938	10907
561	13967	10885
562	13994	10862
563	14020	10838
564	14046	10814
565	14073	10791
566	14107	10773
567	14133	10749
568	14159	10725
569	14186	10701
570	14213	10678
571	14239	10654
572	14265	10630
573	14292	10607
574	14317	10582
575	14344	10558
576	14369	10534
577	14397	10512
578	14424	10488
579	14452	10465
580	14477	10441
581	14504	10417
582	14532	10394
583	14558	10370
584	14585	10346
585	14611	10322
586	14640	10300
587	14667	10277
588	14688	10249
589	14712	10224
590	14739	10200
591	14765	10176
592	14791	10151
593	14817	10127
594	14843	10103
595	14870	10080
596	14896	10055
597	14924	10032
598	14953	10010
599	14985	9990
600	15011	9966
601	15037	9941
602	15064	9918
603	15089	9893
604	15114	9868
605	15138	9842
606	15161	9816
607	15189	9793
608	15212	9766
609	15228	9736
610	15254	9711
611	15266	9678
612	15278	9645
613	15291	9613
614	15309	9583
615	15328	9555
616	15353	9530
617	15378	9506
618	15407	9483
619	15432	9458
620	15456	9433
621	15482	9408
622	15508	9384
623	15542	9365
624	15567	9340
625	15593	9316
626	15619	9292
627	15645	9267
628	15671	9243
629	15699	9220
630	15726	9196
631	15752	9172
632	15778	9148
633	15803	9123
634	15828	9098
635	15855	9074
636	15889	9054
637	15917	9031
638	15945	9008
639	15972	8984
640	15998	8960
641	16023	8935
642	16053	8913
643	16083	8890
644	16109	8866
645	16136	8842
646	16165	8819
647	16190	8794
648	16216	8770
649	16241	8745
650	16268	8721
651	16295	8697
652	16324	8674
653	16351	8650
654	16378	8626
655	16405	8602
656	16430	8577
657	16457	8553
658	16482	8529
659	16508	8504
660	16534	8479
661	16560	8455
662	16587	8431
663	16614	8407
664	16641	8383
665	16669	8359
666	16695	8335
667	16721	8310
668	16748	8286
669	16775	8262
670	16808	8241
671	16836	8217
672	16862	8193
673	16888	8168
674	16913	8143
675	16941	8119
676	16967	8095
677	16994	8071
678	17022	8047
679	17045	8021
680	17060	7991
681	17073	7961
682	17087	7931
683	17103	7901
684	17119	7872
685	17138	7844
686	17160	7818
687	17184	7792
688	17208	7767
689	17237	7744
690	17265	7720
691	17290	7695
692	17315	7670
693	17341	7646
694	17367	7621
695	17394	7597
696	17420	7573
697	17444	7547
698	17472	7524
699	17499	7499
700	17526	7475
701	17553	7451
702	17580	7427
703	17605	7402
704	17632	7378
705	17659	7353
706	17685	7329
707	17712	7305
708	17740	7281
709	17767	7257
710	17794	7232
711	17821	7208
712	17847	7184
713	17874	7159
714	17899	7134
715	17926	7110
716	17952	7086
717	17979	7061
718	18006	7037
719	18032	7012
720	18059	6988
721	18085	6963
722	18113	6939
723	18140	6915
724	18166	6890
725	18193	6866
726	18219	6841
727	18244	6816
728	18270	6792
729	18296	6767
730	18322	6742
731	18348	6717
732	18375	6693
733	18401	6668
734	18425	6643
735	18450	6618
736	18477	6593
737	18503	6568
738	18531	6544
739	18558	6520
740	18584	6495
741	18609	6470
742	18634	6445
743	18661	6421
744	18688	6396
745	18714	6372
746	18740	6347
747	18768	6323
748	18794	6298
749	18820	6273
750	18846	6248
751	18873	6224
752	18897	6198
753	18923	6173
754	18950	6149
755	18975	6124
756	19001	6099
757	19025	6074
758	19050	6049
759	19077	6024
760	19103	5999
761	19128	5974
762	19154	5949
763	19180	5924
764	19205	5899
765	19230	5874
766	19254	5849
767	19280	5824
768	19306	5799
769	19332	5774
770	19357	5749
771	19385	5725
772	19410	5700
773	19436	5675
774	19460	5649
775	19487	5625
776	19513	5600
777	19539	5575
778	19566	5550
779	19592	5526
780	19618	5501
781	19644	5476
782	19670	5451
783	19695	5426
784	19721	5401
785	19746	5376
786	19774	5351
787	19800	5327
788	19829	5302
789	19855	5278
790	19882	5253
791	19910	5228
792	19937	5204
793	19962	5179
794	19987	5154
795	20012	5128
796	20039	5104
797	20066	5079
798	20092	5054
799	20119	5029
800	20147	5005
801	20173	4980
802	20198	4955
803	20225	4930
804	20251	4905
805	20278	4880
806	20304	4856
807	20330	4831
808	20357	4806
809	20384	4781
810	20409	4756
811	20436	4731
812	20463	4706
813	20491	4682
814	20518	4657
815	20543	4632
816	20568	4607
817	20594	4582
818	20621	4557
819	20646	4532
820	20674	4507
821	20703	4483
822	20728	4457
823	20754	4432
824	20780	4408
825	20806	4382
826	20831	4357
827	20856	4332
828	20883	4307
829	20910	4282
830	20936	4257
831	20964	4233
832	20989	4207
833	21014	4182
834	21039	4157
835	21066	4132
836	21093	4107
837	21121	4083
838	21125	4053
839	21152	4029
840	21179	4004
841	21207	3979
842	21232	3954
843	21258	3929
844	21285	3904
845	21311	3879
846	21337	3854
847	21363	3829
848	21389	3804
849	21413	3778
850	21439	3753
851	21464	3728
852	21491	3703
853	21516	3678
854	21542	3653
855	21567	3628
856	21594	3603
857	21619	3577
858	21644	3552
859	21671	3527
860	21695	3502
861	21722	3477
862	21748	3452
863	21775	3427
864	21801	3402
865	21828	3377
866	21855	3352
867	21881	3327
868	21906	3302
869	21933	3277
870	21958	3252
871	21987	3227
872	22014	3202
873	22042	3177
874	22069	3152
875	22095	3127
876	22122	3102
877	22151	3077
878	22176	3052
879	22203	3027
880	22231	3002
881	22258	2977
882	22286	2952
883	22313	2927
884	22340	2902
885	22367	2877
886	22392	2852
887	22420	2827
888	22448	2802
889	22474	2777
890	22499	2752
891	22525	2727
892	22551	2702
893	22576	2676
894	22602	2651
895	22629	2626
896	22655	2601
897	22680	2576
898	22706	2551
899	22730	2525
900	22758	2500
901	22783	2475
902	22808	2450
903	22828	2424
904	22849	2398
905	22875	2373
906	22899	2348
907	22924	2322
908	22949	2297
909	22975	2272
910	23001	2247
911	23027	2221
912	23054	2196
913	23081	2171
914	23108	2146
915	23135	2121
916	23161	2096
917	23187	2071
918	23213	2046
919	23241	2020
920	23267	1995
921	23294	1970
922	23320	1945
923	23346	1920
924	23371	1895
925	23397	1869
926	23423	1844
927	23450	1819
928	23475	1794
929	23504	1769
930	23530	1743
931	23557	1718
932	23583	1693
933	23610	1668
934	23637	1643
935	23663	1618
936	23689	1592
937	23715	1567
938	23743	1542
939	23770	1517
940	23795	1491
941	23822	1466
942	23849	1441
943	23874	1416
944	23900	1391
945	23925	1365
946	23953	1340
947	23979	1315
948	24005	1290
949	24033	1264
950	24059	1239
951	24085	1214
952	24112	1189
953	24138	1163
954	24163	1138
955	24188	1113
956	24215	1088
957	24242	1062
958	24269	1037
959	24294	1012
960	24319	986
961	24344	961
962	24373	936
963	24400	911
964	24427	885
965	24452	860
966	24477	835
967	24504	810
968	24530	784
969	24556	759
970	24583	734
971	24611	708
972	24637	683
973	24664	658
974	24689	633
975	24714	607
976	24740	582
977	24766	557
978	24791	531
979	24817	506
980	24843	481
981	24869	455
982	24894	430
983	24911	405
984	24930	379
985	24950	354
986	24971	328
987	24991	303
988	25009	278
989	25025	252
990	25042	227
991	25054	202
992	25066	176
993	25078	151
994	25090	126
995	25101	100
996	25113	75
997	25124	50
998	25135	25
999	25146	0
